id,dia_0,dia_1,dia_2,dia_3,dia_4,miembros
0,52,38,12,82,33,4
1,26,4,82,5,11,4
2,100,54,25,12,27,3
3,2,95,1,96,32,2
4,53,1,47,93,26,4
5,32,59,12,3,60,4
6,88,4,1,3,91,2
7,25,11,52,48,10,5
8,18,60,1,12,89,4
9,1,88,39,50,26,7
10,96,92,8,5,67,7
11,19,75,39,44,2,7
12,52,98,53,1,39,6
13,54,52,25,53,1,2
14,45,25,34,38,88,2
15,22,4,82,10,5,2
16,46,50,1,17,52,3
17,47,52,74,5,4,4
18,75,87,74,38,52,3
19,3,12,5,1,7,2
20,3,88,17,68,32,6
21,56,1,45,69,31,5
22,61,33,1,82,60,6
23,19,82,18,73,11,3
24,75,95,24,4,38,6
25,16,11,12,53,3,3
26,58,95,4,25,66,2
27,38,95,1,43,88,4
28,81,27,54,21,45,5
29,89,8,1,82,80,4
30,68,53,57,52,75,3
31,74,7,82,59,68,3
32,24,75,15,53,45,3
33,32,96,1,54,4,3
34,46,52,40,17,15,3
35,31,87,98,61,19,3
36,47,33,82,4,1,6
37,15,81,82,87,88,2
38,13,68,1,26,47,5
39,10,9,59,35,1,4
40,25,81,82,8,73,6
41,31,5,92,45,35,8
42,81,89,45,12,80,8
43,11,1,7,40,15,2
44,49,1,32,45,46,2
45,5,82,46,55,81,4
46,15,88,67,52,82,3
47,45,19,1,38,27,4
48,32,5,21,54,52,4
49,33,45,4,17,54,2
50,67,50,43,5,95,6
51,28,26,67,75,54,2
52,33,53,76,70,81,2
53,37,22,1,66,12,4
54,94,69,73,25,26,3
55,91,2,6,54,45,3
56,12,1,80,10,75,5
57,31,1,95,32,82,4
58,74,32,61,39,80,4
59,39,15,5,27,25,4
60,1,98,88,28,54,2
61,18,15,19,96,28,4
62,1,39,68,33,82,6
63,31,73,54,63,22,5
64,3,12,47,29,94,3
65,47,87,20,17,2,5
66,1,66,82,39,25,8
67,1,94,45,21,10,5
68,89,85,78,58,18,7
69,5,22,94,75,64,4
70,32,1,11,5,7,3
71,11,46,71,39,27,4
72,66,38,26,35,52,3
73,10,52,18,22,23,3
74,82,28,66,61,47,4
75,53,52,16,1,26,4
76,46,79,98,24,61,4
77,20,31,12,72,79,4
78,52,53,66,67,47,5
79,1,37,82,61,35,7
80,18,47,10,1,52,2
81,17,1,4,54,39,4
82,32,8,11,1,47,4
83,88,59,14,53,52,2
84,9,13,73,39,43,6
85,54,10,28,39,16,3
86,29,1,45,53,14,3
87,25,68,73,38,43,2
88,57,75,83,34,12,4
89,23,17,68,12,14,2
90,54,52,17,33,26,6
91,17,54,33,1,67,4
92,85,1,74,37,19,2
93,5,33,39,1,73,3
94,47,10,73,96,45,3
95,24,53,68,32,74,4
96,75,1,88,31,58,6
97,96,24,48,89,36,4
98,3,1,11,73,26,4
99,39,23,18,88,61,3
100,39,5,80,1,19,6
101,53,96,17,9,49,2
102,31,29,13,46,89,7
103,68,12,18,33,87,7
104,47,46,33,52,3,2
105,12,17,45,26,22,4
106,34,30,17,31,3,4
107,12,41,33,54,46,3
108,34,32,51,47,1,5
109,17,75,95,48,68,5
110,67,22,24,23,70,6
111,68,1,35,94,17,4
112,60,13,31,89,43,3
113,18,37,58,1,95,4
114,15,20,37,5,100,6
115,22,17,1,15,74,4
116,77,79,19,80,25,4
117,94,1,19,31,13,6
118,69,73,16,81,45,4
119,4,19,10,53,67,4
120,56,89,95,28,97,4
121,17,54,87,4,38,3
122,24,4,14,47,95,6
123,95,22,32,18,4,4
124,14,38,7,18,26,5
125,47,58,8,83,3,3
126,3,40,24,88,68,5
127,2,42,36,27,95,8
128,56,12,72,69,89,6
129,17,43,32,61,46,7
130,16,82,59,53,49,6
131,11,81,12,60,31,4
132,76,74,36,24,26,2
133,54,40,20,73,5,4
134,18,96,26,17,95,8
135,5,33,18,2,87,6
136,88,1,40,53,45,3
137,82,26,8,1,96,2
138,59,2,11,28,80,5
139,89,11,32,8,46,3
140,61,1,13,81,59,6
141,89,4,3,82,61,4
142,26,37,29,85,33,3
143,38,28,17,1,15,3
144,28,5,12,1,24,4
145,18,61,25,73,40,2
146,64,61,42,36,67,3
147,28,24,7,39,14,5
148,63,94,25,4,3,4
149,61,40,87,38,66,4
150,60,19,95,72,61,4
151,3,95,2,19,61,6
152,88,40,68,1,82,2
153,3,12,73,40,35,2
154,25,61,91,99,82,4
155,100,79,27,1,36,2
156,95,74,44,67,3,5
157,87,61,54,29,49,3
158,13,95,49,25,45,6
159,3,45,55,9,49,6
160,40,28,14,7,16,2
161,47,60,43,46,1,4
162,68,86,15,17,29,5
163,84,30,15,27,88,4
164,18,1,10,21,47,6
165,1,33,97,7,26,7
166,14,84,44,22,51,4
167,95,93,1,23,21,4
168,19,73,13,89,67,4
169,67,17,52,5,84,5
170,12,25,27,40,10,7
171,24,73,47,45,1,4
172,21,60,54,15,46,7
173,68,55,47,38,24,3
174,94,34,18,51,13,6
175,17,89,18,74,47,2
176,52,18,75,50,16,6
177,74,13,52,95,48,4
178,80,45,46,1,95,2
179,26,2,1,59,34,5
180,40,20,21,51,80,6
181,7,20,37,1,38,3
182,94,87,12,17,8,2
183,17,10,34,2,60,3
184,4,47,40,38,90,6
185,80,31,54,1,64,2
186,50,2,60,87,82,4
187,43,39,26,75,35,2
188,10,20,48,56,59,3
189,1,51,3,31,18,3
190,9,41,87,21,82,4
191,54,33,5,83,1,3
192,77,33,20,96,59,3
193,12,35,75,56,14,4
194,95,1,65,42,52,2
195,55,9,87,47,56,3
196,26,100,60,7,54,6
197,59,44,19,45,24,2
198,81,90,59,31,82,7
199,51,31,71,22,42,2
200,26,46,74,47,83,2
201,47,35,46,88,21,7
202,23,6,49,92,88,5
203,38,52,3,18,81,4
204,67,88,45,49,56,5
205,1,26,18,47,19,2
206,28,18,1,8,68,2
207,47,5,95,94,73,5
208,1,10,95,5,75,4
209,9,71,22,24,47,6
210,23,80,72,94,81,4
211,67,45,1,9,59,4
212,10,3,35,96,52,3
213,52,18,1,26,77,3
214,31,18,26,3,35,3
215,1,17,94,40,52,2
216,43,47,81,93,5,7
217,5,38,39,47,80,5
218,38,23,54,1,10,3
219,68,31,81,19,54,6
220,1,24,88,11,95,2
221,17,4,10,31,94,5
222,36,19,12,25,47,3
223,60,5,17,41,19,6
224,4,66,40,100,87,4
225,61,80,24,53,50,2
226,59,82,17,46,18,2
227,49,39,54,1,16,5
228,87,25,4,81,53,7
229,48,1,82,24,85,4
230,57,35,31,53,33,2
231,48,4,32,18,80,3
232,47,59,26,51,82,3
233,87,45,92,12,44,3
234,82,66,24,25,4,4
235,53,59,13,40,67,3
236,37,8,87,10,32,5
237,3,54,17,4,30,7
238,19,4,36,39,95,4
239,14,36,17,31,13,3
240,33,1,57,21,19,4
241,60,52,25,82,4,4
242,60,17,56,97,15,2
243,89,1,26,4,80,4
244,39,35,18,89,74,4
245,4,13,38,17,59,6
246,50,22,30,41,57,6
247,66,96,24,61,30,6
248,33,80,22,44,23,5
249,75,14,89,1,68,3
250,1,7,52,11,81,8
251,75,66,97,44,9,3
252,1,18,45,92,97,4
253,73,32,88,84,93,3
254,18,28,68,95,44,3
255,12,94,47,1,17,4
256,93,96,74,32,31,4
257,74,89,1,59,25,6
258,92,86,48,11,75,4
259,60,12,31,21,100,5
260,25,37,46,20,39,5
261,67,87,83,92,96,3
262,32,35,56,5,95,4
263,48,60,19,31,1,3
264,11,20,96,10,79,2
265,11,81,26,18,17,7
266,32,1,7,17,38,7
267,18,1,74,45,31,2
268,39,59,48,1,53,4
269,30,47,20,1,33,5
270,67,31,41,89,5,6
271,73,3,55,1,46,6
272,43,31,72,75,29,6
273,38,1,95,24,68,2
274,8,33,23,71,56,3
275,15,16,17,62,39,6
276,32,10,69,81,66,4
277,3,81,46,53,47,3
278,54,46,78,100,68,3
279,38,73,17,11,25,6
280,89,23,55,51,59,6
281,22,18,82,19,94,3
282,17,12,26,89,4,3
283,73,9,52,38,1,4
284,20,24,38,82,56,6
285,66,5,87,26,32,6
286,54,38,26,22,12,4
287,47,8,94,85,80,4
288,63,73,67,16,5,2
289,66,26,11,18,32,3
290,25,56,5,43,38,5
291,80,23,22,11,45,2
292,66,19,40,75,36,3
293,67,23,47,18,30,5
294,46,1,4,17,68,7
295,10,47,31,85,13,8
296,39,50,31,55,10,3
297,48,35,1,54,63,3
298,19,50,32,13,80,3
299,32,39,17,10,46,3
300,5,87,40,81,61,4
301,45,53,19,39,82,2
302,4,39,11,47,80,4
303,27,13,89,17,1,3
304,86,28,32,40,90,6
305,58,12,54,31,1,5
306,2,89,47,67,54,6
307,1,32,39,5,86,4
308,47,1,10,35,26,4
309,19,4,31,96,66,4
